Indice;Film;Oscar Year;Film Studio/Producer(s);Award;Year of Release;Movie Time;Movie Genre;Tomatometer Status;Tomatometer Rating;Tomatometer Count;Audience Status;Audience Rating;Audience Count
0;Wings;1927/28;Famous Players-Lasky;Winner;1927;144;Drama,Romance,War;Certified-Fresh;93.0;46.0;Upright;78.0;3530.0
1;7th Heaven;1927/28;Fox;Nominee;1927;110;Drama,Romance;;;;;;
2;The Racket;1927/28;The Caddo Company;Nominee;1928;84;Crime,Drama,Film-Noir;;;;;;
3;The Broadway Melody;1928/29;Metro-Goldwyn-Mayer;Winner;1929;100;Drama,Musical,Romance;Rotten;33.0;24.0;Spilled;21.0;1813.0
4;Alibi;1928/29;Feature Productions;Nominee;1929;91;Action,Crime,Romance;;;;;;
5;Hollywood Revue;1928/29;Metro-Goldwyn-Mayer;Nominee;1929;130;Comedy,Music;;;;;;
6;In Old Arizona;1928/29;Fox;Nominee;1928;95;Western;Rotten;56.0;9.0;Spilled;38.0;356.0
7;The Patriot;1928/29;Paramount Famous Lasky;Nominee;1928;113;Drama,History,Thriller;;;;;;
8;All Quiet on the Western Front;1929/30;Universal;Winner;1930;152;Drama,War;;;;;;
9;The Big House;1929/30;Cosmopolitan;Nominee;1930;87;Crime,Drama,Thriller;Fresh;75.0;8.0;Upright;69.0;323.0
10;Disraeli;1929/30;Warner Bros.;Nominee;1929;90;Biography,Drama,History;;;;;;
11;The Divorcee;1929/30;Metro-Goldwyn-Mayer;Nominee;1930;84;Romance,Drama;;;;;;
12;The Love Parade;1929/30;Paramount Famous Lasky;Nominee;1929;107;Comedy,Musical,Romance;;;;;;
13;Cimarron;1930/31;RKO Radio;Winner;1931;123;Drama,Western;Rotten;50.0;24.0;Spilled;25.0;1514.0
14;East Lynne;1930/31;Fox;Nominee;1931;102;Drama,Romance;;;;;;
15;The Front Page;1930/31;The Caddo Company;Nominee;1931;101;Comedy,Crime,Drama;;;;;;
16;Skippy;1930/31;Paramount Publix;Nominee;1931;85;Comedy,Drama,Family;;;;;;
17;Trader Horn;1930/31;Metro-Goldwyn-Mayer;Nominee;1931;122;Action,Adventure,Drama;;;;;;
18;Grand Hotel;1931/32;Metro-Goldwyn-Mayer;Winner;1932;112;Drama,Romance;Certified-Fresh;86.0;42.0;Upright;77.0;7014.0
19;Arrowsmith;1931/32;Samuel Goldwyn Productions;Nominee;1931;108;Drama;;;;;;
20;Bad Girl;1931/32;Fox;Nominee;1931;90;Drama,Romance;;;;;;
21;The Champ;1931/32;Metro-Goldwyn-Mayer;Nominee;1931;86;Drama,Sport;Fresh;90.0;10.0;Upright;74.0;617.0
22;Five Star Final;1931/32;First National;Nominee;1931;89;Crime,Drama;;;;;;
23;One Hour with You;1931/32;Paramount Publix;Nominee;1932;78;Comedy,Musical,Romance;;;;;;
24;Shanghai Express;1931/32;Paramount Publix;Nominee;1932;82;Adventure,Drama,Romance;;;;;;
25;The Smiling Lieutenant;1931/32;Paramount Publix;Nominee;1931;93;Comedy,Romance,Musical;;;;;;
26;Cavalcade;1932/33;Fox;Winner;1933;112;Drama,Romance,War;Rotten;59.0;29.0;Spilled;26.0;1027.0
27;42nd Street;1932/33;Warner Bros.;Nominee;1933;89;Comedy,Drama,Musical;Fresh;96.0;25.0;Upright;74.0;7561.0
28;A Farewell to Arms;1932/33;Paramount;Nominee;1932;80;Drama,Romance,War;Fresh;93.0;14.0;Spilled;53.0;5697.0
29;I Am a Fugitive from a Chain Gang;1932/33;Warner Bros.;Nominee;1932;92;Crime,Drama,Film-Noir;;;;;;
30;Lady for a Day;1932/33;Columbia;Nominee;1933;96;Comedy,Drama;;;;;;
31;Little Women;1932/33;RKO Radio;Nominee;1933;115;Drama,Family,Romance;Fresh;94.0;16.0;Upright;78.0;9776.0
32;The Private Life of Henry VIII;1932/33;London Films;Nominee;1933;97;Biography,Comedy,Drama;Fresh;100.0;16.0;Upright;74.0;1295.0
33;She Done Him Wrong;1932/33;Paramount;Nominee;1933;66;Comedy,Drama,History;Fresh;91.0;22.0;Spilled;53.0;2240.0
34;Smilin' Through;1932/33;Metro-Goldwyn-Mayer;Nominee;1932;98;Drama,Romance;;;;;;
35;State Fair;1932/33;Fox;Nominee;1933;99;Comedy,Drama,Romance;;;;;;
36;It Happened One Night;1934;Columbia;Winner;1934;105;Comedy,Romance;Certified-Fresh;98.0;60.0;Upright;93.0;33678.0
37;The Barretts of Wimpole Street;1934;Metro-Goldwyn-Mayer;Nominee;1934;109;Biography,Drama,Romance;Fresh;78.0;9.0;Upright;69.0;335.0
38;Cleopatra;1934;Paramount;Nominee;1934;100;Biography,Drama,History;;;;;;
39;Flirtation Walk;1934;First National;Nominee;1934;97;Musical,Romance;;;;;;
40;The Gay Divorcee;1934;RKO Radio;Nominee;1934;107;Comedy,Musical,Romance;Fresh;93.0;14.0;Upright;82.0;3378.0
41;Here Comes the Navy;1934;Warner Bros.;Nominee;1934;87;Comedy,Drama,Romance;;;;;;
42;The House of Rothschild;1934;20th Century;Nominee;1934;88;Biography,Drama,History;;;;;;
43;Imitation of Life;1934;Universal;Nominee;1934;111;Drama,Romance;Fresh;92.0;24.0;Upright;85.0;4562.0
44;One Night of Love;1934;Columbia;Nominee;1934;84;Music,Romance;;;;;;
45;The Thin Man;1934;Metro-Goldwyn-Mayer;Nominee;1934;91;Comedy,Crime,Mystery;Fresh;97.0;39.0;Upright;93.0;12999.0
46;Viva Villa!;1934;Metro-Goldwyn-Mayer;Nominee;1934;115;Action,Biography,Romance;;;;;;
47;The White Parade;1934;Jesse L. Lasky (production company);Nominee;1934;80;Drama;;;;;;
48;Mutiny on the Bounty;1935;Metro-Goldwyn-Mayer;Winner;1935;132;Adventure,Biography,Drama;Certified-Fresh;93.0;41.0;Upright;83.0;8061.0
49;Alice Adams;1935;RKO Radio;Nominee;1935;99;Comedy,Drama,Romance;Fresh;94.0;17.0;Upright;71.0;2419.0
50;Broadway Melody of 1936;1935;Metro-Goldwyn-Mayer;Nominee;1935;101;Musical,Romance;;;;;;
51;Captain Blood;1935;Cosmopolitan;Nominee;1935;119;Action,Adventure,History;Fresh;100.0;27.0;Upright;89.0;8194.0
52;David Copperfield;1935;Metro-Goldwyn-Mayer;Nominee;1935;130;Adventure,Drama,Romance;;;;;;
53;The Informer;1935;RKO Radio;Nominee;1935;91;Crime,Drama;Fresh;94.0;16.0;Upright;77.0;1081.0
54;The Lives of a Bengal Lancer;1935;Paramount;Nominee;1935;109;Adventure,Drama,War;;;;;;
55;A Midsummer Night's Dream;1935;Warner Bros.;Nominee;1935;133;Comedy,Fantasy,Romance;Fresh;91.0;11.0;Upright;62.0;1229.0
56;Les MisÃ©rables;1935;20th Century;Nominee;1935;108;Drama,History,Romance;;;;;;
57;Naughty Marietta;1935;Metro-Goldwyn-Mayer;Nominee;1935;105;Drama,Musical,Romance;;;;;;
58;Ruggles of Red Gap;1935;Paramount;Nominee;1935;90;Comedy,Romance,Western;;;;;;
59;Top Hat;1935;RKO Radio;Nominee;1935;101;Comedy,Musical,Romance;Certified-Fresh;100.0;42.0;Upright;91.0;9847.0
60;The Great Ziegfeld;1936;Metro-Goldwyn-Mayer;Winner;1936;176;Biography,Drama,Musical;Fresh;62.0;34.0;Spilled;50.0;2778.0
61;Anthony Adverse;1936;Warner Bros.;Nominee;1936;141;Adventure,Drama,Romance;;;;;;
62;Dodsworth;1936;Samuel Goldwyn Productions;Nominee;1936;101;Drama,Romance;Fresh;90.0;20.0;Upright;86.0;1466.0
63;Libeled Lady;1936;Metro-Goldwyn-Mayer;Nominee;1936;98;Comedy,Romance;Fresh;86.0;14.0;Upright;88.0;2696.0
64;Mr. Deeds Goes to Town;1936;Columbia;Nominee;1936;115;Comedy,Drama,Romance;Fresh;90.0;21.0;Upright;86.0;9236.0
65;Romeo and Juliet;1936;Metro-Goldwyn-Mayer;Nominee;1936;125;Drama,Romance;Fresh;78.0;9.0;Spilled;50.0;6.0
66;San Francisco;1936;Metro-Goldwyn-Mayer;Nominee;1936;115;Drama,Musical,Romance;Fresh;100.0;11.0;Upright;70.0;1337.0
67;The Story of Louis Pasteur;1936;Cosmopolitan;Nominee;1936;86;Biography,Drama,History;;;;;;
68;A Tale of Two Cities;1936;Metro-Goldwyn-Mayer;Nominee;1935;128;Drama,History,Romance;Fresh;92.0;13.0;Upright;84.0;2145.0
69;Three Smart Girls;1936;Universal;Nominee;1936;84;Comedy,Musical,Romance;Fresh;86.0;7.0;Spilled;50.0;474.0
70;The Life of Emile Zola;1937;Warner Bros.;Winner;1937;116;Biography,Drama;Fresh;82.0;33.0;Upright;73.0;2348.0
71;The Awful Truth;1937;Columbia;Nominee;1937;90;Comedy,Romance;Fresh;93.0;29.0;Upright;87.0;7597.0
72;Captains Courageous;1937;Metro-Goldwyn-Mayer;Nominee;1937;117;Adventure,Drama,Family;Fresh;94.0;18.0;Upright;89.0;3811.0
73;Dead End;1937;Samuel Goldwyn Productions;Nominee;1937;93;Crime,Drama,Film-Noir;Fresh;91.0;11.0;Upright;76.0;2021.0
74;The Good Earth;1937;Metro-Goldwyn-Mayer;Nominee;1937;138;Drama,Romance;Fresh;95.0;19.0;Upright;76.0;1100.0
75;In Old Chicago;1937;20th Century-Fox;Nominee;1938;95;Action,Drama,Musical;;;;;;
76;Lost Horizon;1937;Columbia;Nominee;1937;132;Adventure,Drama,Fantasy;Fresh;93.0;14.0;Upright;83.0;5550.0
77;One Hundred Men and a Girl;1937;Universal;Nominee;1937;84;Comedy,Drama,Music;;;;;;
78;Stage Door;1937;RKO Radio;Nominee;1937;92;Comedy,Drama;Fresh;96.0;23.0;Upright;87.0;4809.0
79;A Star Is Born;1937;Selznick International Pictures;Nominee;1937;111;Drama,Romance;Fresh;100.0;20.0;Upright;78.0;2686.0
80;You Can't Take It with You;1938;Columbia;Winner;1938;126;Comedy,Drama,Romance;;;;;;
81;The Adventures of Robin Hood;1938;Warner Bros.-First National;Nominee;1938;102;Action,Adventure,Romance;Certified-Fresh;100.0;48.0;Upright;89.0;33946.0
82;Alexander's Ragtime Band;1938;20th Century-Fox;Nominee;1938;106;Drama,Music,Musical;Fresh;80.0;5.0;Spilled;46.0;1421.0
83;Boys Town;1938;Metro-Goldwyn-Mayer;Nominee;1938;96;Biography,Drama;Fresh;90.0;20.0;Upright;81.0;4219.0
84;The Citadel;1938;Metro-Goldwyn-Mayer;Nominee;1938;110;Drama;Fresh;89.0;9.0;Upright;72.0;411.0
85;Four Daughters;1938;Warner Bros.-First National;Nominee;1938;90;Drama,Music,Romance;;;;;;
86;Grand Illusion;1938;Realization D'Art Cinematographique;Nominee;1937;113;Drama,War;;;;;;
87;Jezebel;1938;Warner Bros.;Nominee;1938;104;Drama,Romance;;;;;;
88;Pygmalion;1938;Metro-Goldwyn-Mayer;Nominee;1938;89;Comedy,Drama,Romance;;;;;;
89;Test Pilot;1938;Metro-Goldwyn-Mayer;Nominee;1938;119;Drama,Romance;;;;;;
90;Gone with the Wind;1939;Selznick International Pictures;Winner;1939;238;Drama,History,Romance;;;;;;
91;Dark Victory;1939;Warner Bros.-First National;Nominee;1939;104;Drama,Romance;Fresh;88.0;24.0;Upright;81.0;5226.0
92;Goodbye, Mr. Chips;1939;Metro-Goldwyn-Mayer;Nominee;1939;114;Drama,Romance;Fresh;82.0;17.0;Upright;87.0;5661.0
93;Love Affair;1939;RKO Radio;Nominee;1939;88;Comedy,Drama,Romance;Fresh;86.0;7.0;Upright;71.0;1666.0
94;Mr. Smith Goes to Washington;1939;Columbia;Nominee;1939;129;Comedy,Drama;Certified-Fresh;96.0;45.0;Upright;94.0;45845.0
95;Ninotchka;1939;Metro-Goldwyn-Mayer;Nominee;1939;110;Comedy,Romance;Fresh;97.0;35.0;Upright;89.0;6822.0
96;Of Mice and Men;1939;Hal Roach (production company);Nominee;1939;106;Adventure,Drama;Fresh;100.0;14.0;Upright;85.0;7138.0
97;Stagecoach;1939;Walter Wanger (production company);Nominee;1939;96;Adventure,Drama,Western;Certified-Fresh;100.0;45.0;Upright;86.0;14614.0
98;The Wizard of Oz;1939;Metro-Goldwyn-Mayer;Nominee;1939;102;Adventure,Family,Fantasy;Certified-Fresh;98.0;120.0;Upright;89.0;876327.0
99;Wuthering Heights;1939;Samuel Goldwyn Productions;Nominee;1939;104;Drama,Romance;Fresh;96.0;23.0;Upright;85.0;8786.0
100;Rebecca;1940;Selznick International Pictures;Winner;1940;130;Drama,Mystery,Romance;;;;;;
101;All This, and Heaven Too;1940;Warner Bros.;Nominee;1940;141;Drama,Romance;Fresh;83.0;6.0;Upright;85.0;1048.0
102;Foreign Correspondent;1940;Walter Wanger (production company);Nominee;1940;120;Action,Romance,Thriller;Fresh;95.0;39.0;Upright;81.0;6906.0
103;The Grapes of Wrath;1940;20th Century-Fox;Nominee;1940;129;Drama,History;Certified-Fresh;100.0;48.0;Upright;88.0;24311.0
104;The Great Dictator;1940;Charles Chaplin Productions;Nominee;1940;125;Comedy,Drama,War;Certified-Fresh;93.0;43.0;Upright;95.0;43702.0
105;Kitty Foyle;1940;RKO Radio;Nominee;1940;108;Drama,Romance;Fresh;80.0;10.0;Upright;72.0;937.0
106;The Letter;1940;Warner Bros.;Nominee;1940;95;Crime,Drama,Film-Noir;Fresh;100.0;13.0;Upright;82.0;3725.0
107;The Long Voyage Home;1940;Argosy-Wanger;Nominee;1940;105;Drama,War;;;;;;
108;Our Town;1940;Sol Lesser (production company);Nominee;1940;90;Drama,Romance;Fresh;86.0;7.0;Spilled;46.0;1291.0
109;The Philadelphia Story;1940;Metro-Goldwyn-Mayer;Nominee;1940;112;Comedy,Romance;Certified-Fresh;100.0;62.0;Upright;93.0;47191.0
110;How Green Was My Valley;1941;20th Century-Fox;Winner;1941;118;Drama,Family;Certified-Fresh;89.0;47.0;Upright;81.0;7950.0
111;Blossoms in the Dust;1941;Metro-Goldwyn-Mayer;Nominee;1941;99;Biography,Drama,Romance;Rotten;33.0;9.0;Upright;72.0;379.0
112;Citizen Kane;1941;Mercury;Nominee;1941;119;Drama,Mystery;Certified-Fresh;100.0;93.0;Upright;90.0;159199.0
113;Here Comes Mr. Jordan;1941;Columbia;Nominee;1941;94;Comedy,Fantasy,Romance;Fresh;100.0;20.0;Upright;83.0;1120.0
114;Hold Back the Dawn;1941;Paramount;Nominee;1941;116;Drama,Romance;;;;;;
115;The Little Foxes;1941;Samuel Goldwyn Productions;Nominee;1941;116;Drama,Romance;Fresh;100.0;15.0;Upright;88.0;3522.0
116;The Maltese Falcon;1941;Warner Bros.;Nominee;1941;100;Crime,Film-Noir,Mystery;Certified-Fresh;100.0;56.0;Upright;91.0;57852.0
117;One Foot in Heaven;1941;Warner Bros.;Nominee;1941;108;Biography,Drama;;;;;;
118;Sergeant York;1941;Warner Bros.;Nominee;1941;134;Biography,Drama,History;Fresh;86.0;22.0;Upright;87.0;5674.0
119;Suspicion;1941;RKO Radio;Nominee;1941;99;Film-Noir,Mystery,Thriller;Fresh;97.0;33.0;Upright;78.0;14737.0
120;Mrs. Miniver;1942;Metro-Goldwyn-Mayer;Winner;1942;134;Drama,Romance,War;Fresh;93.0;30.0;Upright;85.0;6063.0
121;49th Parallel;1942;Ortus;Nominee;1941;123;Drama,Thriller,War;;;;;;
122;Kings Row;1942;Warner Bros.;Nominee;1942;127;Drama,Mystery,Romance;Fresh;100.0;16.0;Upright;76.0;1081.0
123;The Magnificent Ambersons;1942;Mercury;Nominee;1942;88;Drama,Romance;Certified-Fresh;89.0;44.0;Upright;85.0;6468.0
124;The Pied Piper;1942;20th Century-Fox;Nominee;1942;87;Drama,War;;;;;;
125;The Pride of the Yankees;1942;Samuel Goldwyn Productions;Nominee;1942;128;Biography,Drama,Romance;Fresh;93.0;29.0;Upright;89.0;6839.0
126;Random Harvest;1942;Metro-Goldwyn-Mayer;Nominee;1942;126;Adventure,Drama,Family;Fresh;90.0;10.0;Upright;88.0;2805.0
127;The Talk of the Town;1942;Columbia;Nominee;1942;118;Comedy,Drama,Romance;;;;;;
128;Wake Island;1942;Paramount;Nominee;1942;88;Action,Drama,War;;;;;;
129;Yankee Doodle Dandy;1942;Warner Bros.;Nominee;1942;126;Biography,Drama,Music;Fresh;90.0;29.0;Upright;83.0;8136.0
130;Casablanca;1943;Warner Bros.;Winner;1942;102;Drama,Romance,War;Certified-Fresh;99.0;92.0;Upright;95.0;357518.0
131;For Whom the Bell Tolls;1943;Paramount;Nominee;1943;170;Adventure,Drama,History;Fresh;71.0;14.0;Upright;69.0;40.0
132;Heaven Can Wait;1943;20th Century-Fox;Nominee;1943;112;Comedy,Drama,Fantasy;Fresh;85.0;13.0;Upright;75.0;4380.0
133;The Human Comedy;1943;Metro-Goldwyn-Mayer;Nominee;1943;117;Comedy,Drama,Family;Fresh;80.0;5.0;Upright;68.0;360.0
134;In Which We Serve;1943;Two Cities Films;Nominee;1942;115;Drama,War;Fresh;89.0;18.0;Upright;76.0;861.0
135;Madame Curie;1943;Metro-Goldwyn-Mayer;Nominee;1943;124;Biography,Drama,Romance;Fresh;86.0;7.0;Upright;67.0;495.0
136;The More the Merrier;1943;Columbia;Nominee;1943;104;Comedy,Romance,War;Fresh;94.0;18.0;Upright;82.0;1310.0
137;The Ox-Bow Incident;1943;20th Century-Fox;Nominee;1942;75;Adventure,Drama,Western;;;;;;
138;The Song of Bernadette;1943;20th Century-Fox;Nominee;1943;156;Biography,Drama;Fresh;87.0;15.0;Upright;80.0;3262.0
139;Watch on the Rhine;1943;Warner Bros.;Nominee;1943;114;Drama,Thriller;Fresh;80.0;5.0;Upright;63.0;600.0
140;Going My Way;1944;Paramount;Winner;1944;126;Comedy,Drama,Music;Fresh;81.0;31.0;Upright;75.0;5784.0
141;Double Indemnity;1944;Paramount;Nominee;1944;107;Crime,Drama,Film-Noir;Certified-Fresh;97.0;64.0;Upright;95.0;35764.0
142;Gaslight;1944;Metro-Goldwyn-Mayer;Nominee;1944;114;Crime,Drama,Mystery;Fresh;87.0;31.0;Upright;90.0;8527.0
143;Since You Went Away;1944;Selznick International Pictures;Nominee;1944;177;Drama,Romance,War;;;;;;
144;Wilson;1944;20th Century-Fox;Nominee;1944;154;Biography,Drama,History;;;;;;
145;The Lost Weekend;1945;Paramount;Winner;1945;101;Drama,Film-Noir;Fresh;97.0;39.0;Upright;90.0;8866.0
146;Anchors Aweigh;1945;Metro-Goldwyn-Mayer;Nominee;1945;140;Comedy,Fantasy,Music;Fresh;62.0;13.0;Upright;79.0;8284.0
147;The Bells of St. Mary's;1945;Rainbow Productions;Nominee;1945;126;Drama;;;;;;
148;Mildred Pierce;1945;Warner Bros.;Nominee;1945;111;Crime,Drama,Film-Noir;Certified-Fresh;86.0;44.0;Upright;90.0;8234.0
149;Spellbound;1945;Selznick International Pictures;Nominee;1945;111;Film-Noir,Mystery,Romance;;;;;;
150;The Best Years of Our Lives;1946;Samuel Goldwyn Productions;Winner;1946;170;Drama,Romance,War;Certified-Fresh;97.0;60.0;Upright;93.0;10819.0
151;Henry V;1946;Two Cities Films;Nominee;1944;137;Biography,Drama,History;;;;;;
152;It's a Wonderful Life;1946;Liberty Films;Nominee;1946;130;Drama,Family,Fantasy;Certified-Fresh;94.0;82.0;Upright;95.0;218883.0
153;The Razor's Edge;1946;20th Century-Fox;Nominee;1946;145;Drama,Romance;Fresh;71.0;7.0;Upright;72.0;1905.0
154;The Yearling;1946;Metro-Goldwyn-Mayer;Nominee;1946;128;Drama,Family,Western;Fresh;100.0;14.0;Upright;76.0;3770.0
155;Gentleman's Agreement;1947;20th Century-Fox;Winner;1947;118;Drama,Romance;Certified-Fresh;76.0;45.0;Upright;78.0;5627.0
156;The Bishop's Wife;1947;Samuel Goldwyn Productions;Nominee;1947;109;Comedy,Drama,Fantasy;;;;;;
157;Crossfire;1947;RKO Radio;Nominee;1947;86;Crime,Drama,Film-Noir;Fresh;82.0;17.0;Upright;74.0;1885.0
158;Great Expectations;1947;J. Arthur Rank-Cineguild;Nominee;1946;118;Adventure,Drama,Mystery;;;;;;
159;Miracle on 34th Street;1947;20th Century-Fox;Nominee;1947;96;Comedy,Drama,Family;Certified-Fresh;96.0;47.0;Upright;87.0;47572.0
160;Hamlet;1948;J. Arthur Rank-Two Cities Films;Winner;1948;154;Drama;Certified-Fresh;95.0;40.0;Upright;80.0;7542.0
161;Johnny Belinda;1948;Warner Bros.;Nominee;1948;102;Drama;Fresh;89.0;9.0;Upright;88.0;1429.0
162;The Red Shoes;1948;J. Arthur Rank-Archers;Nominee;1948;135;Drama,Music,Romance;Certified-Fresh;97.0;59.0;Upright;92.0;11766.0
163;The Snake Pit;1948;20th Century-Fox;Nominee;1948;108;Drama,Mystery;Fresh;100.0;8.0;Upright;83.0;2656.0
